Country,log_revenues,Revenue with inflation,count
Bahamas,20.579131045504347,865771041.6666666,1
Malta,20.462701562473043,770616623.8065642,1
Peru,19.633871287029088,336420117.6464912,1
Nigeria,18.66643850035166,127858980.58252424,1
Algeria,18.55081961646022,113898654.62602176,1
United Arab Emirates,17.89091130550765,94458092.92869277,9
Panama,17.650297132825568,46283548.54099379,1
Uruguay,17.62250286444165,51350258.4727997,2
Socialist Federal Republic of Yugoslavia,17.48474337776913,39221804.12371134,1
Ukraine,17.460832809857447,38295111.53556068,1
China,17.338796153434178,93872536.13818286,52
Czech Republic,17.33342778561873,133831935.70320223,29
Colombia,17.195755647942832,31872048.84472722,2
West Germany,17.172867546808725,66772501.96042834,18
United States of America,17.126559614009057,113581458.40707834,6923
Germany,17.126364651436706,111870187.57568097,447
Libya,17.06264757011279,25716608.08435852,1
Philippines,16.977366649961176,39988781.396338865,2
Mongolia,16.975488734077384,26139950.065818615,2
Australia,16.943149517867646,112406857.12430361,171
Lebanon,16.939726039235246,22914075.758944314,2
Japan,16.86975349594678,65283041.38351443,202
United Kingdom,16.85267836330493,115378104.58690232,947
Hong Kong,16.844912081732232,74911895.99494578,79
Zimbabwe,16.783671427117223,24415404.138588816,2
Jamaica,16.66661262661623,17306844.66533742,1
Italy,16.63221297119027,73895873.41643113,153
New Zealand,16.6293373348432,150291641.46335313,66
Taiwan,16.567715373151856,63937684.05994847,8
France,16.508684526415244,66115290.10424089,498
Spain,16.466603855980654,64945496.53619879,96
Switzerland,16.377474967108544,53679804.031060115,20
Romania,16.35137247533333,54443902.87831968,9
Canada,16.32372963961668,67655038.7787169,332
Greece,16.314800372564154,32009285.17752423,5
Mexico,16.30078111393696,38090545.49512736,42
Singapore,16.28653585354274,17238855.613012873,3
Morocco,16.256576008671136,61973206.479518436,5
Slovakia,16.23444169237237,65311561.90340245,4
Luxembourg,16.231536087032364,23292773.944429856,22
Kenya,16.2201649827721,64409107.83654865,2
South Africa,16.161176233333286,65921348.45418353,22
Brazil,16.139786772996537,60223711.1411045,13
Isle of Man,16.127428944979176,10093769.85030722,1
Argentina,16.085266771041685,24049970.43616844,26
Thailand,16.06494601119646,166871715.2943074,9
Indonesia,16.005798329281493,10148932.276913716,2
Kuwait,15.976537418769002,14323178.477183478,2
Ireland,15.95018115884704,37527943.9848832,59
Lithuania,15.901624832640142,8053560.362233689,1
Malaysia,15.848930533493093,9429807.867235346,2
Sweden,15.73620944388454,40204846.766531125,27
Russia,15.733221281520452,19003069.962682355,24
Belgium,15.708291782192077,27437024.948922038,39
Poland,15.707614561128004,25671986.90894471,11
Hungary,15.672758925281535,45299476.747933075,15
South Korea,15.671193364517556,15012568.031611789,276
Netherlands,15.63333369734466,32731635.62289474,34
India,15.574678551814506,36478833.03949542,47
Tunisia,15.55074361345686,14375017.413696762,4
Kingdom of Great Britain,15.503739922563984,118342953.01367381,5
Finland,15.373165983069493,14155601.754031872,16
Venezuela,15.35386618366548,4656926.241625506,1
Soviet Union,15.333299361006134,4562126.274165202,1
Qatar,15.312763992205472,4469396.705217859,1
Iceland,15.30665380333134,35767826.917056285,8
Puerto Rico,15.279013247574266,4596412.9218331,2
England,15.249618609888397,10384119.822016267,17
Israel,15.236037673297327,22795763.223798275,18
Norway,15.216570396387596,25980395.622287158,13
Yugoslavia,15.151684274738544,23927731.146634623,6
Bulgaria,15.142649525153793,21541868.908322994,4
Pakistan,15.04900477462832,3433204.9637314198,1
Denmark,14.946974488657855,20544162.874384273,25
Slovak Republic,14.88482963084664,21238613.814724624,2
Portugal,14.869348392842317,4776090.30505725,5
Austria,14.843808064609899,23417588.111839257,14
Egypt,14.816672846507153,2721443.0930795157,1
Turkey,14.659512197600984,7632932.26376855,32
Korea,14.427972156139347,5823759.276574707,5
Scotland,14.316154594237254,4809230.97383456,8
Croatia,14.129541126819062,1368931.5825785417,1
Weimar Republic,14.127819031233637,1366576.180239521,1
Bosnia and Herzegovina,13.564442371514412,905527.3384460685,2
Vietnam,13.210774183618753,1817695.7903196455,2
Iran,13.195783991302157,1312537.0039590625,8
Serbia,12.874617759224043,920196.1906121423,5
Serbia and Montenegro,12.702384050303891,328530.2015091863,1
Afghanistan,11.83874985625338,138517.20992183164,1
